,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19745,80,Gossamer Scrap,127,123,107.95,10160,0.02105263158,TRUE,-22,2.3,2.3,,,24360,3,Slab of Poultry Meat,,,,,,,,,,,,,,,,,,,,
,24282,186,Potent Venom Sac,72,69,61.2,13392,0.04894736842,FALSE,0,3.0,3.0,,,19745,1,Gossamer Scrap,,,,,,,,,,,,,,,,,,,,
,24294,255,Vial of Potent Blood,72,68,61.2,18360,0.06710526316,FALSE,0,4.1,4.1,,,24288,7,Large Scale,,,,,,,,,,,,,,,,,,,,
,24276,234,Pile of Incandescent Dust,208,202,176.8,48672,0.06157894737,FALSE,0,10.9,10.9,,,24299,3,Intricate Totem,,,,,,,,,,,,,,,,,,,,
,24283,31,Powerful Venom Sac,2380,1974,2023,73780,0.008157894737,FALSE,0,16.5,16.5,,,19729,35,Thick Leather Section,,,,,,,,,,,,,,,,,,,,
,24299,244,Intricate Totem,71,68,60.35,17324,0.06421052632,FALSE,0,3.9,3.9,,,24359,4,Slab of Red Meat,,,,,,,,,,,,,,,,,,,,
,24341,224,Large Bone,72,70,61.2,16128,0.05894736842,FALSE,0,3.6,3.6,,,24356,5,Large Fang,,,,,,,,,,,,,,,,,,,,
,12254,30,Raspberry,130,125,110.5,3900,0.007894736842,FALSE,0,0.9,0.9,,,12247,2,Bay Leaf,,,,,,,,,,,,,,,,,,,,
,24523,10,Medallion of the Soldier,130,131,110.5,1300,0.002631578947,FALSE,0,0.3,0.3,,,12254,1,Raspberry,,,,,,,,,,,,,,,,,,,,
,24300,42,Elaborate Totem,2494,2310,2119.9,104748,0.01105263158,FALSE,0,23.4,23.4,,,24300,1,Elaborate Totem,,,,,,,,,,,,,,,,,,,,
,24360,54,Slab of Poultry Meat,1042,912,885.7,56268,0.01421052632,FALSE,0,12.6,12.6,,,24295,1,Vial of Powerful Blood,,,,,,,,,,,,,,,,,,,,
,24516,4,Sapphire Orb,1406,1324,1195.1,5624,0.001052631579,FALSE,0,1.3,1.3,,,24358,1,Ancient Bone,,,,,,,,,,,,,,,,,,,,
,24358,36,Ancient Bone,2620,2261,2227,94320,0.009473684211,FALSE,0,21.1,21.1,,,24289,1,Armored Scale,,,,,,,,,,,,,,,,,,,,
,24357,29,Vicious Fang,1798,1533,1528.3,52142,0.007631578947,FALSE,0,11.7,11.7,,,24351,2,Vicious Claw,,,,,,,,,,,,,,,,,,,,
,12258,28,Cinnamon Stick,832,831,707.2,23296,0.007368421053,FALSE,0,5.2,5.2,,150,24350,13,Large Claw,,,,,,,,,,,,,,,,,,,,
,24351,43,Vicious Claw,2401,2001,2040.85,103243,0.01131578947,FALSE,0,23.1,23.1,,,19748,56,Silk Scrap,,,,,,,,,,,,,,,,,,,,
,19732,88,Hardened Leather Section,199,194,169.15,17512,0.02315789474,TRUE,45.3,3.9,4.8,,,24294,12,Vial of Potent Blood,,,,,,,,,,,,,,,,,,,,
,24519,8,Beryl Crystal,141,140,119.85,1128,0.002105263158,FALSE,0,0.3,0.3,,,24356,10,Large Fang,,,,,,,,,,,,,,,,,,,,
,24289,39,Armored Scale,2648,2366,2250.8,103272,0.01026315789,FALSE,0,23.1,23.1,,,24276,8,Pile of Incandescent Dust,,,,,,,,,,,,,,,,,,,,
,12247,35,Bay Leaf,31,30,26.35,1085,0.009210526316,FALSE,0,0.2,0.2,,,24282,7,Potent Venom Sac,,,,,,,,,,,,,,,,,,,,
,24277,31,Pile of Crystalline Dust,1740,1560,1479,53940,0.008157894737,FALSE,0,12.1,12.1,,,19729,33,Thick Leather Section,,,,,,,,,,,,,,,,,,,,
,24475,4,Sapphire Crystal,145,144,123.25,580,0.001052631579,FALSE,0,0.1,0.1,,,24288,12,Large Scale,,,,,,,,,,,,,,,,,,,,
,24531,5,Medallion of the Rabid,130,130,110.5,650,0.001315789474,FALSE,0,0.1,0.1,,,24295,2,Vial of Powerful Blood,,,,,,,,,,,,,,,,,,,,
,24509,8,Coral Tentacle,178,130,151.3,1424,0.002105263158,FALSE,0,0.3,0.3,,,24360,6,Slab of Poultry Meat,,,,,,,,,,,,,,,,,,,,
,24474,9,Ruby Crystal,144,135,122.4,1296,0.002368421053,FALSE,0,0.3,0.3,,,24299,7,Intricate Totem,,,,,,,,,,,,,,,,,,,,
,24508,3,Ruby Orb,1411,1250,1199.35,4233,0.0007894736842,FALSE,0,0.9,0.9,,,24341,5,Large Bone,,,,,,,,,,,,,,,,,,,,
,24473,7,Emerald Crystal,141,140,119.85,987,0.001842105263,FALSE,0,0.2,0.2,,,24357,1,Vicious Fang,,,,,,,,,,,,,,,,,,,,
,24517,7,Medallion of the Magi,130,130,110.5,910,0.001842105263,FALSE,0,0.2,0.2,,,12247,1,Bay Leaf,,,,,,,,,,,,,,,,,,,,
,12351,11,Orange,118,97,100.3,1298,0.002894736842,FALSE,0,0.3,0.3,,,19745,3,Gossamer Scrap,,,,,,,,,,,,,,,,,,,,
,24476,5,Medallion of the Shaman,130,130,110.5,650,0.001315789474,FALSE,0,0.1,0.1,,,24277,1,Pile of Crystalline Dust,,,,,,,,,,,,,,,,,,,,
,24518,2,Crest of the Magi,1300,1291,1105,2600,0.0005263157895,FALSE,0,0.6,0.6,,,24300,2,Elaborate Totem,,,,,,,,,,,,,,,,,,,,
,24532,3,Crest of the Rabid,1380,1307,1173,4140,0.0007894736842,FALSE,0,0.9,0.9,,,24474,1,Ruby Crystal,,,,,,,,,,,,,,,,,,,,
,24524,1,Crest of the Soldier,1351,1350,1148.35,1351,0.0002631578947,FALSE,0,0.3,0.3,,,24508,1,Ruby Orb,,,,,,,,,,,,,,,,,,,,
,24511,3,Chrysocola Crystal,139,138,118.15,417,0.0007894736842,FALSE,0,0.1,0.1,,,24283,1,Powerful Venom Sac,,,,,,,,,,,,,,,,,,,,
,24521,6,Opal Crystal,150,139,127.5,900,0.001578947368,FALSE,0,0.2,0.2,,,24523,1,Medallion of the Soldier,,,,,,,,,,,,,,,,,,,,
,24533,3,Crest of the Shaman,1350,1349,1147.5,4050,0.0007894736842,FALSE,0,0.9,0.9,,,12254,1,Raspberry,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24473,1,Emerald Crystal,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,19732,1,Hardened Leather Section,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24351,1,Vicious Claw,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,500,19748,161,Silk Scrap,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24350,26,Large Claw,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,19729,128,Thick Leather Section,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24288,29,Large Scale,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24295,9,Vial of Powerful Blood,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24359,19,Slab of Red Meat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24356,24,Large Fang,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,19745,9,Gossamer Scrap,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24282,20,Potent Venom Sac,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24294,33,Vial of Potent Blood,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24276,26,Pile of Incandescent Dust,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24283,5,Powerful Venom Sac,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24299,26,Intricate Totem,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24341,27,Large Bone,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12254,3,Raspberry,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24523,3,Medallion of the Soldier,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24300,8,Elaborate Totem,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24360,8,Slab of Poultry Meat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24516,1,Sapphire Orb,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24358,4,Ancient Bone,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24357,1,Vicious Fang,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12258,7,Cinnamon Stick,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24351,3,Vicious Claw,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,19732,9,Hardened Leather Section,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24519,3,Beryl Crystal,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24289,4,Armored Scale,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12247,2,Bay Leaf,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24277,1,Pile of Crystalline Dust,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24475,1,Sapphire Crystal,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24531,1,Medallion of the Rabid,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24509,1,Coral Tentacle,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1500,24519,2,Beryl Crystal,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24512,1,Chrysocola Orb,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,19729,372,Thick Leather Section,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24295,16,Vial of Powerful Blood,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24351,14,Vicious Claw,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,19748,539,Silk Scrap,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24276,76,Pile of Incandescent Dust,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24282,64,Potent Venom Sac,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,19732,30,Hardened Leather Section,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24288,76,Large Scale,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24283,15,Powerful Venom Sac,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24350,82,Large Claw,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24356,83,Large Fang,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24289,15,Armored Scale,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24294,84,Vial of Potent Blood,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12247,12,Bay Leaf,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24358,14,Ancient Bone,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24360,18,Slab of Poultry Meat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24341,66,Large Bone,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24299,81,Intricate Totem,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24473,1,Emerald Crystal,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24357,15,Vicious Fang,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,19745,29,Gossamer Scrap,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12258,8,Cinnamon Stick,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24300,11,Elaborate Totem,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24277,9,Pile of Crystalline Dust,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24523,2,Medallion of the Soldier,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24509,6,Coral Tentacle,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24533,2,Crest of the Shaman,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24359,27,Slab of Red Meat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12254,11,Raspberry,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24517,4,Medallion of the Magi,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12351,3,Orange,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24476,1,Medallion of the Shaman,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24518,1,Crest of the Magi,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24531,2,Medallion of the Rabid,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24532,1,Crest of the Rabid,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24524,1,Crest of the Soldier,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24511,1,Chrysocola Crystal,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24474,1,Ruby Crystal,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24521,1,Opal Crystal,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24516,1,Sapphire Orb,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1500,24299,127,Intricate Totem,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24350,91,Large Claw,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24356,102,Large Fang,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,19729,465,Thick Leather Section,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,19748,702,Silk Scrap,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12247,18,Bay Leaf,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24341,117,Large Bone,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24295,22,Vial of Powerful Blood,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24276,113,Pile of Incandescent Dust,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,19732,46,Hardened Leather Section,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12254,14,Raspberry,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12258,13,Cinnamon Stick,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24288,112,Large Scale,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24282,84,Potent Venom Sac,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24294,120,Vial of Potent Blood,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24283,10,Powerful Venom Sac,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24300,20,Elaborate Totem,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24521,5,Opal Crystal,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24357,12,Vicious Fang,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24474,7,Ruby Crystal,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,19745,38,Gossamer Scrap,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24358,17,Ancient Bone,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24360,19,Slab of Poultry Meat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24531,2,Medallion of the Rabid,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24351,23,Vicious Claw,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24508,2,Ruby Orb,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24359,50,Slab of Red Meat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24277,20,Pile of Crystalline Dust,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24289,19,Armored Scale,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24473,5,Emerald Crystal,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24523,4,Medallion of the Soldier,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24517,3,Medallion of the Magi,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24476,4,Medallion of the Shaman,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24532,2,Crest of the Rabid,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24511,2,Chrysocola Crystal,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12351,8,Orange,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24509,1,Coral Tentacle,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24519,3,Beryl Crystal,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24518,1,Crest of the Magi,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24475,3,Sapphire Crystal,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24522,1,Opal Orb,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24516,2,Sapphire Orb,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24533,1,Crest of the Shaman,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
