,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12229,394,Chocolate Bar,649,550,551.65,255706,0.1470149254,FALSE,0,81.1,81.1,,,12229,14,Chocolate Bar,,,19732,5,Hardened Leather Section,,,,,,,,,,,,,,,
,24292,146,Vial of Blood,376,300,319.6,54896,0.05447761194,FALSE,0,17.4,17.4,,,24292,6,Vial of Blood,,,89098,1,Symbol of Control,,,,,,,,,,,,,,,
,24344,169,Bone,1384,1310,1176.4,233896,0.06305970149,FALSE,0,74.2,74.2,,,24344,14,Bone,,,89140,170,Lucent Mote,,,,,,,,,,,,,,,
,24280,150,Venom Sac,565,426,480.25,84750,0.05597014925,FALSE,0,26.9,26.9,,,24280,8,Venom Sac,,,490,1,Berserker's Conjurer Chest of Strength,,,,,,,,,,,,,,,
,24298,152,Totem,330,275,280.5,50160,0.05671641791,FALSE,0,15.9,15.9,,,24298,13,Totem,,,28249,1,Cleric's Iron Rifle of Perception,,,,,,,,,,,,,,,
,19730,528,Coarse Leather Section,35,23,29.75,18480,0.1970149254,TRUE,4.5,5.9,6.6,,,19730,25,Coarse Leather Section,,,26504,1,Cleric's Iron Sword of Leeching,,,,,,,,,,,,,,,
,24504,5,Peridot Lump,80,37,68,400,0.001865671642,FALSE,0,0.1,0.1,,,24504,1,Peridot Lump,,,,,,,,,,,,,,,,,,,,
,24354,135,Fang,889,888,755.65,120015,0.05037313433,FALSE,0,38.1,38.1,,,24354,10,Fang,,,,,,,,,,,,,,,,,,,,
,12258,12,Cinnamon Stick,832,831,707.2,9984,0.00447761194,FALSE,0,3.2,3.2,,,12258,1,Cinnamon Stick,,,,,,,,,,,,,,,,,,,,
,24286,138,Scale,657,615,558.45,90666,0.05149253731,FALSE,0,28.8,28.8,,,24286,11,Scale,,,,,,,,,,,,,,,,,,,,
,12329,76,Yam,28,12,23.8,2128,0.02835820896,FALSE,0,0.7,0.7,,,12329,4,Yam,,,,,,,,,,,,,,,,,,,,
,24506,5,Topaz Lump,79,46,67.15,395,0.001865671642,FALSE,0,0.1,0.1,,,24506,1,Topaz Lump,,,,,,,,,,,,,,,,,,,,
,24772,3,Gold Doubloon,1375,1297,1168.75,4125,0.001119402985,FALSE,0,1.3,1.3,,,24772,1,Gold Doubloon,,,,,,,,,,,,,,,,,,,,
,24526,8,Spinel Lump,80,44,68,640,0.002985074627,FALSE,0,0.2,0.2,,,24526,1,Spinel Lump,,,,,,,,,,,,,,,,,,,,
,24528,6,Talisman of the Stout,60,43,51,360,0.00223880597,FALSE,0,0.1,0.1,,80,12229,18,Chocolate Bar,,,,,,,,,,,,,,,,,,,,
,24360,52,Slab of Poultry Meat,1042,912,885.7,54184,0.01940298507,FALSE,0,17.2,17.2,,,24286,3,Scale,,,,,,,,,,,,,,,,,,,,
,24527,4,Amethyst Lump,307,218,260.95,1228,0.001492537313,FALSE,0,0.4,0.4,,,24348,3,Claw,,,,,,,,,,,,,,,,,,,,
,24507,4,Lapis Lump,88,47,74.8,352,0.001492537313,FALSE,0,0.1,0.1,,,24354,9,Fang,,,,,,,,,,,,,,,,,,,,
,24525,3,Talisman of Lingering,59,43,50.15,177,0.001119402985,FALSE,0,0.1,0.1,,,12138,49,Stick of Butter,,,,,,,,,,,,,,,,,,,,
,24472,7,Carnelian Lump,106,52,90.1,742,0.002611940299,FALSE,0,0.2,0.2,,,19741,6,Cotton Scrap,,,,,,,,,,,,,,,,,,,,
,24503,4,Sunstone Lump,2523,1763,2144.55,10092,0.001492537313,FALSE,0,3.2,3.2,,,24344,7,Bone,,,,,,,,,,,,,,,,,,,,
,24503,4,Sunstone Lump,2523,1763,2144.55,10092,0.001492537313,FALSE,0,3.2,3.2,,,24528,1,Talisman of the Stout,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0,FALSE,0, , ,,,19730,11,Coarse Leather Section,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0,FALSE,0, , ,,,24280,1,Venom Sac,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0,FALSE,0, , ,,,24274,3,Pile of Radiant Dust,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0,FALSE,0, , ,,,24298,4,Totem,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0,FALSE,0, , ,,,24292,4,Vial of Blood,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0,FALSE,0, , ,,,12329,4,Yam,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0,FALSE,0, , ,,,24359,3,Slab of Red Meat,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0,FALSE,0, , ,,,12258,1,Cinnamon Stick,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0,FALSE,0, , ,,,12247,1,Bay Leaf,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0,FALSE,0, , ,,30,19730,7,Coarse Leather Section,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0,FALSE,0, , ,,,24292,2,Vial of Blood,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0,FALSE,0, , ,,,24280,2,Venom Sac,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0,FALSE,0, , ,,,19741,8,Cotton Scrap,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0,FALSE,0, , ,,,24274,3,Pile of Radiant Dust,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24286,3,Scale,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12229,6,Chocolate Bar,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12138,13,Stick of Butter,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24344,1,Bone,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24354,1,Fang,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24360,1,Slab of Poultry Meat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24298,1,Totem,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,145,19741,47,Cotton Scrap,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12229,31,Chocolate Bar,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24526,1,Spinel Lump,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24354,9,Fang,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12138,55,Stick of Butter,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,19730,31,Coarse Leather Section,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24286,6,Scale,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24344,10,Bone,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24280,4,Venom Sac,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24360,6,Slab of Poultry Meat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24298,8,Totem,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12329,2,Yam,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24292,10,Vial of Blood,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24274,7,Pile of Radiant Dust,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12258,1,Cinnamon Stick,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24527,1,Amethyst Lump,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12247,1,Bay Leaf,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24348,3,Claw,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24507,1,Lapis Lump,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,108,12247,1,Bay Leaf,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,19730,21,Coarse Leather Section,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12229,15,Chocolate Bar,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24286,5,Scale,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12258,1,Cinnamon Stick,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24298,5,Totem,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,19741,27,Cotton Scrap,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24344,7,Bone,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24348,4,Claw,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24354,4,Fang,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12138,48,Stick of Butter,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24280,9,Venom Sac,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24274,6,Pile of Radiant Dust,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24292,4,Vial of Blood,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12329,2,Yam,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24360,3,Slab of Poultry Meat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12351,3,Orange,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,322,19741,102,Cotton Scrap,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24286,24,Scale,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24274,13,Pile of Radiant Dust,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24354,14,Fang,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24292,16,Vial of Blood,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12229,43,Chocolate Bar,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24344,15,Bone,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,19730,59,Coarse Leather Section,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12138,125,Stick of Butter,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24280,26,Venom Sac,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12351,9,Orange,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24348,19,Claw,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24360,8,Slab of Poultry Meat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12329,7,Yam,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24298,15,Totem,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24526,1,Spinel Lump,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24527,1,Amethyst Lump,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24525,1,Talisman of Lingering,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24528,1,Talisman of the Stout,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24359,2,Slab of Red Meat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24772,1,Gold Doubloon,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,450,24280,23,Venom Sac,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12329,15,Yam,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12138,149,Stick of Butter,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24292,23,Vial of Blood,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12247,2,Bay Leaf,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24528,1,Talisman of the Stout,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24286,16,Scale,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,19730,104,Coarse Leather Section,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12229,67,Chocolate Bar,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24298,30,Totem,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24344,27,Bone,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24348,29,Claw,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24274,19,Pile of Radiant Dust,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,19741,98,Cotton Scrap,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12351,12,Orange,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24472,3,Carnelian Lump,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24527,1,Amethyst Lump,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24504,1,Peridot Lump,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24354,23,Fang,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24503,1,Sunstone Lump,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24359,4,Slab of Red Meat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24526,1,Spinel Lump,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24360,9,Slab of Poultry Meat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12258,2,Cinnamon Stick,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,494,24528,1,Talisman of the Stout,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24348,29,Claw,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,19741,142,Cotton Scrap,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,19730,95,Coarse Leather Section,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24280,19,Venom Sac,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12258,2,Cinnamon Stick,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12138,173,Stick of Butter,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24359,9,Slab of Red Meat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24292,27,Vial of Blood,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24344,37,Bone,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24274,23,Pile of Radiant Dust,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12229,65,Chocolate Bar,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24298,24,Totem,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24354,21,Fang,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12329,16,Yam,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12351,17,Orange,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24772,1,Gold Doubloon,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24526,2,Spinel Lump,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24286,22,Scale,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24360,12,Slab of Poultry Meat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24525,1,Talisman of Lingering,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24506,2,Topaz Lump,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24507,1,Lapis Lump,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12247,2,Bay Leaf,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24503,1,Sunstone Lump,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24530,1,Talisman of Mending,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,278,12138,101,Stick of Butter,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24292,19,Vial of Blood,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24286,18,Scale,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,19730,55,Coarse Leather Section,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24360,7,Slab of Poultry Meat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24298,17,Totem,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12229,42,Chocolate Bar,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,19741,86,Cotton Scrap,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12258,2,Cinnamon Stick,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24344,18,Bone,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24280,15,Venom Sac,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24348,11,Claw,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12351,10,Orange,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12329,8,Yam,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24354,16,Fang,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24274,15,Pile of Radiant Dust,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24506,1,Topaz Lump,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24472,1,Carnelian Lump,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24503,1,Sunstone Lump,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24525,1,Talisman of Lingering,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24359,1,Slab of Red Meat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24505,1,Talisman of Penetration,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,367,19730,76,Coarse Leather Section,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24298,15,Totem,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12329,9,Yam,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24292,25,Vial of Blood,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,19741,106,Cotton Scrap,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12229,58,Chocolate Bar,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12138,113,Stick of Butter,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24274,15,Pile of Radiant Dust,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24280,26,Venom Sac,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24286,24,Scale,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24505,1,Talisman of Penetration,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24344,23,Bone,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24348,15,Claw,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24359,19,Slab of Red Meat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24354,17,Fang,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24472,2,Carnelian Lump,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12351,6,Orange,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24360,5,Slab of Poultry Meat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12247,1,Bay Leaf,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24504,2,Peridot Lump,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24526,2,Spinel Lump,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,250,12138,63,Stick of Butter,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24280,17,Venom Sac,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,19741,60,Cotton Scrap,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,19730,44,Coarse Leather Section,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12329,9,Yam,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24298,20,Totem,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24360,1,Slab of Poultry Meat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12351,19,Orange,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24507,2,Lapis Lump,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24274,11,Pile of Radiant Dust,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24359,13,Slab of Red Meat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24348,20,Claw,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24292,10,Vial of Blood,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12229,35,Chocolate Bar,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24354,11,Fang,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24344,10,Bone,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12247,2,Bay Leaf,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24504,1,Peridot Lump,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24528,2,Talisman of the Stout,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24286,6,Scale,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24529,1,Talisman of Potency,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24527,1,Amethyst Lump,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24472,1,Carnelian Lump,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24503,1,Sunstone Lump,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12258,2,Cinnamon Stick,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24506,1,Topaz Lump,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
